pmid,title,abstract,year,journal,layer
41482192,LCK at the Crossroad of Immunodeficiency and Autoimmunity: Mechanisms and Therapeutic Opportunities.,"The lymphocyte-specific protein tyrosine kinase (LCK) is the principal initiator of T cell receptor (TCR) signaling and a critical regulator of T-cell development, activation, and immune tolerance. Its critical expression in T cells positions LCK as both a molecular gatekeeper of adaptive immunity and an attractive therapeutic target. Loss-of-function mutations in LCK result in combined immunodeficiency with profound defects in T-cell differentiation and signaling, whereas hypomorphic variants with residual activity can promote immune dysregulation and autoimmunity. Conversely, aberrant LCK activation is associated with autoimmunity and chronic inflammation, including type 1 diabetes, psoriasis, rheumatoid arthritis, asthma, multiple sclerosis, and graft-versus-host disease. Here, we review the structural and regulatory mechanisms of LCK, its dysfunction in immunodeficiency and autoimmunity, and the current landscape of therapeutic strategies. While first-generation inhibitors targeting the ATP-binding site have shown efficacy in preclinical models, their lack of selectivity highlights the need for innovative approaches directed at non-catalytic domains of LCK. By linking mechanistic understanding with clinical relevance, we position LCK as a precision regulatory node with the potential to transform therapeutic strategies for T cell-driven immune disorders.",2025,Immunology letters,L1_scientific_engagement
41482171,"Rational design of nanotherapy for ulcerative colitis: New strategies, mechanistic approaches, and translational challenges.","Ulcerative colitis (UC), a chronic mucosal inflammatory condition, is hampered by the systemic side effects, variable responses, and limited sustained efficacy of current drugs like immunosuppressants and biologics. Recent advancements in nanotechnology have led to the emergence of groundbreaking drug delivery platforms, which offer new avenues for addressing the therapeutic challenges of UC. This article aims to provide a comprehensive review of the rational design principles underlying UC nanotherapeutics, with a focus on leveraging the unique pathophysiological features of the disease for the development of nanosystems endowed with dual-targeting capabilities and multi-stimulus responsiveness. We also discussed the multifaceted mechanisms of action of these nanotherapies, which extend beyond mere drug delivery to include immunomodulation, gut barrier repair, and gut microbiota remodeling. Furthermore, the challenges in clinical translation are critically evaluated, encompassing biosafety, manufacturing quality, and the preclinical-human gap. This article would serve as a resource for understanding nanotherapies for UC.",2025,"Nanomedicine : nanotechnology, biology, and medicine",L1_scientific_engagement
41482167,"Linking Particulate Matter Exposure and Neurological Disorders: Evidence from Epidemiology, Biomarkers and Mechanistic Studies.","Exposure to particulate matter (PM) including fine (PM₂.₅), coarse (PM₁₀), and ultrafine particles (UFPM) has emerged as a critical environmental determinant of neurological disorders, including Alzheimer's and Parkinson's diseases, neurodevelopmental impairments, and cognitive decline. This review integrates evidence from 129 research articles (2002-2025) to elucidate the mechanistic, biomarker-based, and public health dimensions of PM-induced neurotoxicity. Mechanistic pathways include oxidative stress, neuroinflammation, mitochondrial dysfunction, and blood-brain barrier disruption, with documented structural and functional damage in brain regions such as the hippocampus and prefrontal cortex. PM₂.₅ serves as a carrier of neurotoxic metals (e.g., lead, cadmium, vanadium) and understudied organic toxicants (e.g., PAHs, pesticides), amplifying its pathogenic potential. Exposure occurs through the olfactory route, systemic circulation, and gut-brain axis, highlighting multiple entry points into the central nervous system. Biomarkers such as Aβ₄₂, phosphorylated tau (p-tau), and α-synuclein are elevated in experimental models, but require greater validation in human PM-exposed populations. Children and older adults represent the most vulnerable groups due to developmental sensitivity and cumulative neuroinflammatory burden, yet remain underrepresented in cohort studies. Geographic disparities further limit generalizability, with low- and middle-income countries underrepresented despite experiencing the highest PM burdens. Future research must advance longitudinal, cohort and life-course studies, multi-omics biomarker discovery, and real-world mixture toxicology to identify intervention targets. These findings call for urgent integration of air pollution control into public health strategies targeting neurological diseases, emphasizing prevention through regulation, early detection, and equity-focused research frameworks.",2025,Neurotoxicology,L1_scientific_engagement
41482142,Pharmacological targeting of nuclear factor (erythroid-derived 2)-like 2 (NRF2): a potential strategy to improve the efficacy of oncological photodynamic therapy.,"The recalcitrance of tumors to photodynamic therapy (PDT) has been linked to PDT-induced activation of survival pathways in sublethally afflicted cancer cells that modulate cellular responses to oxidative stress and damage. Survival signaling manifests in regions of the tumor where the tumor cells are insufficiently photosensitized or subjected to inadequate fluence rates. The survival signaling in these tumor regions is believed to account for tumor recurrence. Accordingly, PDT efficacy can be improved by intervening in these pathways using molecular inhibitors of key modulators of survival signaling, thereby reducing the number of sublethality afflicted cancer cells whilst increasing therapeutic efficacy. A promising target for pharmacological intervention is the nuclear factor (erythroid-derived 2)-like 2 (NRF2) pathway, which induces the antioxidant and xenobiotic stress response that helps cells cope with prolonged periods of hyperoxidative stress after PDT. This review outlines our current understanding of this pathway, how it is activated, and how it confers cytoprotective effects and ensures cell survival. Additional distinguishing features of the review are that (1) studies are addressed in which PDT activation of the NRF2 pathway has been demonstrated; (2) an exhaustive overview of NRF2 pathway inhibitors is presented that could serve as potential adjuvants in PDT regimens to augment therapeutic efficacy in treatment-resistant tumors and cancers that recur after PDT; (3) molecular docking analyses are included that show potential interactions between the NRF2 inhibitors and the redox sensor KEAP1; and (4) an elaborate account is provided on the potential bottlenecks and caveats that can be encountered when using NRF2 inhibitors in the development of fourth-generation photosensitizers for oncological PDT.",2025,Biochemical pharmacology,L1_scientific_engagement
41482134,Is intra-arterial chemotherapy superior to conventional chemotherapy for retinoblastoma? A systematic review and meta-analysis of efficacy and safety.,"Intra-arterial chemotherapy (IAC) has emerged as a targeted alternative to conventional systemic chemotherapy (CC) for retinoblastoma, but their comparative effectiveness and safety remain incompletely defined. This systematic review and meta-analysis evaluated whether IAC is superior to CC for survival, globe preservation, and metastasis prevention in pediatric intraocular retinoblastoma. We searched PubMed, Embase, Scopus, Web of Science, Cochrane Library, and Google Scholar from inception to June 1, 2025, for English-language human studies directly comparing IAC with CC and reporting at least one primary outcome. Eligible designs included randomized trials and comparative cohort or observational studies. Risk of bias was assessed using Cochrane tools, and random-effects models generated pooled risk ratios with 95% confidence intervals. Twelve comparative studies including 6,261 children and more than 5,000 treated eyes met the criteria. Compared with CC, IAC was associated with higher overall survival (risk ratio 1.12, p < 0.00001) and event-free survival (risk ratio 1.43, p < 0.0001), higher globe salvage (risk ratio 1.33, p < 0.00001), and a lower risk of enucleation (risk ratio 1.69, p < 0.00001), particularly in advanced International Classification of Retinoblastoma Group D and E eyes. IAC also reduced metastatic events by 54% (risk ratio 0.46, p = 0.03). Heterogeneity was low across primary outcomes, and no meaningful publication bias was detected. These findings indicate that IAC provides superior survival, ocular preservation, and metastatic protection compared with CC, supporting its use as a preferred frontline or adjunctive therapy for intraocular retinoblastoma where technical expertise and resources permit.",2025,Survey of ophthalmology,L1_scientific_engagement
41482014,Acupuncture as adjunctive therapy for cervical cancer pain: a systematic review and meta-analysis.,"The current study aimed to assess the efficacy of acupuncture as an adjunctive therapy for pain management in cervical cancer patients through a systematic review and meta-analysis. Databases including the Web of Science, Cochrane Library, PubMed, Embase, Wanfang, and China National Knowledge Infrastructure (CNKI) were searched up to January 2025. Randomized controlled trials (RCTs) investigating acupuncture combined with conventional treatment versus conventional treatment alone for cervical cancer pain were incorporated. Statistical analyses were performed using Stata 16.0 and RevMan 5.4. Standardized mean differences (SMD) and 95% confidence intervals (CI) were computed for continuous outcomes. Additionally, subgroup and sensitivity analyses were performed to investigate the stability of the results and potential sources of heterogeneity. Eight RCTs involving 627 participants were included in the analysis. A meta-analysis demonstrated that, compared to conventional treatment alone, acupuncture significantly enhanced pain relief as an adjunctive therapy (SMD = -1.00, 95% CI [-1.27, -0.73], p < 0.00001). Manual acupuncture was more effective than electroacupuncture (SMD = -1.25 vs. -0.46). Acupuncture use also significantly improved gastrointestinal function (SMD = -1.57, 95% CI [-3.10, -0.04]) and Karnofsky Performance Scale scores (SMD = 1.28, 95% CI [0.54, 2.02]). The acupoints most commonly utilized were Zusanli (ST36), Hegu (LI4), and Taichong (LR3). Adjunctive acupuncture offers notable advantages in reducing pain and enhancing function in cervical cancer patients, particularly when manual techniques are applied to stimulate specific acupoints. These findings support the inclusion of acupuncture in integrated cancer pain management strategies.",2025,Journal of pain and symptom management,L1_scientific_engagement
41481888,The Relationship Between Neutrophil-to-Lymphocyte Ratio and the Prevalence and Clinical Outcomes of Depressive Disorders: A Systematic Review and Meta-Analysis.,"The pathophysiology of depressive disorder (DD) has been linked to the inflammatory process, and neutrophil-to-lymphocyte ratio (NLR) is considered a marker of systemic inflammation. Increasing research suggests a potential correlation between NLR and DD onset and prognosis. Current literature, however, presents conflicting results, highlighting a need for further investigation. A systematic literature search was performed in PubMed, Embase, Web of Science, and the Cochrane Library, from inception to September 4, 2024, to identify studies evaluating the relationship between NLR and DD. The primary outcomes pointed to DD prevalence and suicide risk in individuals with DD. Sensitivity and subgroup analyses were conducted to explore the heterogeneity and robustness of results. Meta-analyses were executed using STATA 15.0 and Review Manager 5.4.1. A total of 37 studies comprising 88,019 participants were included. Categorical analyses showed that high NLR was significantly associated with presence of DD (odds ratio [OR]: 1.57, 95% confidence interval [CI]: 1.28, 1.93). Continuous analyses revealed elevated NLR levels in individuals diagnosed with DD (standardized mean difference [SMD]: 0.73, 95% CI: 0.51, 0.94). Furthermore, increased NLR was associated with heightened suicide risk among those with DD (categorical outcome OR: 1.56, 95% CI: 1.26, 1.94; continuous outcome SMD: 0.42, 95% CI: 0.23, 0.61). Elevated NLR is associated with higher prevalence of DD and increased suicide risk in this patient population. NLR may serve as a promising biomarker for diagnosing and assessing individuals with DD.",2025,Harvard review of psychiatry,L1_scientific_engagement
41481872,Functional Spinal Unit Approach for Orthobiologic Injections for Low Back Pain.,"Low back pain (LBP) is a common and complex health issue with a multifactorial origin, involving structures such as the lumbar intervertebral discs (IVDs), facet joints, muscles, ligaments, and nerve roots. Typically, traditional pain management approaches target isolated pain generators. However, recent advancements, particularly regenerative injection techniques, have shifted the focus toward a more comprehensive treatment model that addresses the entire functional spinal unit (FSU), providing a disease-modifying approach. The purpose of this narrative review is to provide a scoping overview of the concept of the FSU and evaluate the potential role of orthobiologics, such as platelet-rich plasma (PRP) and mesenchymal stem cells (MSCs), in treating back pain associated with various spinal conditions. Narrative literature review. Relevant peer-reviewed manuscripts were identified through a comprehensive search of electronic databases, such as PubMed, Embase, and Google Scholar. Studies focusing on the anatomy, biomechanics, and pathology of the FSU, as well as those concerning the application of PRP and MSCs in spinal disorders, were included. The FSU, the smallest structural unit of the spine, consists of 2 vertebrae, an IVD, facet joints, and associated supporting ligaments. The FSU is crucial for absorbing shock, distributing mechanical loads, protecting the spinal cord and nerve roots, and maintaining spinal stability and mobility. Orthobiologic therapies, including PRP and MSCs, have shown promise in modulating disease processes and promoting tissue repair in spinal conditions. Emerging evidence supports the efficacy of these therapies in reducing pain and improving functional outcomes by targeting multiple components of the FSU. A thorough understanding of the biomechanical processes and the dynamic distribution of mechanical load across its various structures is essential to recognizing that chronic LBP often arises from multiple pain generators rather than a single source. Therefore, an integrated treatment approach that addresses these multiple pain generators collectively, considering the FSU and the entire spine, is critical for optimizing patient outcomes. Rather than being systematic, this narrative review is focused on providing an overview of the effects of orthobiologics in the treatment of chronic LBP using an FSU approach. The heterogeneity of study designs, variability in treatment protocols, and limited long-term data pose challenges in establishing standardized guidelines for orthobiologic therapies in LBP management. Orthobiologic treatments offer a promising disease-modifying approach by addressing the entire FSU rather than isolated pain generators. Future research should focus on optimizing multitarget injection strategies, thereby standardizing treatment protocols.",2025,Pain physician,L1_scientific_engagement
41481871,Lumbar Medial Branch Radiofrequency Ablation: Technical Suggestions Based on Emerging Ex-Vivo Evidence.,"Facetogenic pain accounts for 5-50% of chronic low back pain (CLBP) cases, and the prevalence of this pain increases with age. Because of poor imaging correlation, the diagnosis is challenging and relies on symptoms, exam findings, and ""gold standard"" diagnostic blocks, though optimal protocols remain debated. National societies have issued treatment recommendations for the condition, yet controversy persists. The present investigation focuses on medial branch block radiofrequency ablation (RFA) and highlights key factors for optimizing technique to improve patient outcomes. To demonstrate proper technique and factors that clinicians should consider to maximize the effectiveness of MBN RFA. Development of methodology integrating ex vivo evidence and clinical approach. An academic healthcare institution. A PubMed review of article published between 2020 and 2025 was performed using the keywords ""ex vivo,"" ""radiofrequency ablation,"" and ""lesion size."" RFA of medial branch nerves (MBNs) relies on precise anatomical knowledge to ensure proper needle placement. Recent studies have demonstrated that there are multiple factors to consider in MBN RFA. When compared to muscle, adipose reduces lesion size in relation to lower thermal conductivity. Adipose around the needle decreases lesion size, which may explain the reduced efficacy of RFA in obese patients. Commonly used solutions impact lesion dimensions: 2% lidocaine increases lesional width, while iohexol 240 increases length. In addition, a probe's proximity to bone increases lesion size, as poor thermal conductance traps energy in adjacent tissues. Therefore, shape and size can be modified in accordance with medication selection and the active tip's juxtaposition to tissue. Despite advancements, significant knowledge gaps remain in understanding the effectiveness of RFA, since most studies focus on tumor ablation rather than neurolysis, and lack in-vivo data. To improve real-world clinical outcomes, future research should evaluate functional outcomes and pain relief in patients undergoing individualized procedures tailored to their unique anatomy. RFA of MBNs is a valuable way to treat axial, facetogenic low back pain. The technique should be optimized to best account for the unique anatomy of each patient and thereby maximize the effectiveness of the procedure.",2025,Pain physician,L1_scientific_engagement
41481829,Lung-morphology-guided mechanical ventilation in ARDS patients.,"This review aims to provide an overview of lung morphology classification in acute respiratory distress syndrome (ARDS) and morphology-guided mechanical ventilation. It discusses the distinct morphological subphenotypes, focal and nonfocal, and how they affect the selection and effectiveness of ventilation strategies. Computed tomography (CT) imaging has traditionally been used to differentiate ARDS morphologies, revealing that focal and nonfocal patterns respond differently to ventilation strategies such as positive end-expiratory pressure (PEEP) titration, recruitment maneuvers, and prone positioning. The Lung Imaging for Ventilator Setting (LIVE) trial highlighted the importance of correct morphology classification, showing that misclassification can obscure survival benefits from personalized ventilation. Lung ultrasound (LUS) has recently emerged as a viable, noninvasive tool for identifying morphological subtypes, with multiple classification methods demonstrating high accuracy. An ongoing trial is now evaluating LUS-based morphology classification to guide personalized mechanical ventilation. Accurate assessment of lung morphology is critical for morphology-guided mechanical ventilation in ARDS. LUS represents a promising tool to implement morphology-guided strategies at the bedside, but further validation is needed to ensure clinical benefit.",2026,Current opinion in critical care,L1_scientific_engagement
